starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 15 17:39:26 2024	1731681566	0	1	1	1
Fri Nov 15 17:39:26 2024	1731681566	0	1	1	1
Fri Nov 15 17:39:26 2024	1731681566	0	2	2	2
Fri Nov 15 17:39:26 2024	1731681566	0	2	2	1
Fri Nov 15 17:39:26 2024	1731681566	1	1	2	1
Fri Nov 15 17:39:26 2024	1731681566	0	46	46	46
Fri Nov 15 17:39:26 2024	1731681566	0	47	47	47
Fri Nov 15 17:39:26 2024	1731681566	0	48	48	48
Fri Nov 15 17:39:26 2024	1731681566	0	49	49	49
Fri Nov 15 17:39:26 2024	1731681566	0	50	50	50
Fri Nov 15 17:39:26 2024	1731681566	0	52	52	52
Fri Nov 15 17:39:26 2024	1731681566	0	1065	1065	1065
