starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 15 17:51:36 2024	1731682296	0	1	1	1
Fri Nov 15 17:51:36 2024	1731682296	0	1	1	1
Fri Nov 15 17:51:36 2024	1731682296	0	1	1	1
Fri Nov 15 17:51:36 2024	1731682296	0	2	2	1
Fri Nov 15 17:51:36 2024	1731682296	0	1	2	1
Fri Nov 15 17:51:36 2024	1731682296	0	2	2	2
Fri Nov 15 17:51:36 2024	1731682296	0	2	2	2
Fri Nov 15 17:51:36 2024	1731682296	0	5	5	5
Fri Nov 15 17:51:36 2024	1731682296	0	7	7	7
Fri Nov 15 17:51:36 2024	1731682296	0	8	8	8
Fri Nov 15 17:51:36 2024	1731682296	0	9	9	9
Fri Nov 15 17:51:36 2024	1731682296	0	9	9	9
