2024/11/15 11:01:00 [error] 52209#0: *39426 open() "/Users/ivanmamvriyskiy/Desktop/web/nginx/html/auth/sign-in" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "POST /api/v1/auth/sign-in HTTP/1.1", host: "localhost:8081"
2024/11/15 11:02:51 [error] 52209#0: *39427 open() "/Users/ivanmamvriyskiy/Desktop/web/nginx/html/auth/sign-in" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "POST /api/v1/auth/sign-in HTTP/1.1", host: "localhost:8081"
2024/11/15 11:17:36 [error] 53681#0: *41472 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://[::1]:8001/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [error] 53739#0: *41473 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://[::1]:8001/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [warn] 53739#0: *41473 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://[::1]:8001/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [warn] 53681#0: *41472 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://[::1]:8001/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [error] 53739#0: *41475 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://127.0.0.1:8001/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [error] 53681#0: *41474 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://127.0.0.1:8001/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [warn] 53739#0: *41475 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://127.0.0.1:8001/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [warn] 53681#0: *41474 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://127.0.0.1:8001/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [error] 53681#0: *41476 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://[::1]:8002/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [warn] 53681#0: *41476 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://[::1]:8002/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [error] 53739#0: *41477 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://[::1]:8002/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [warn] 53739#0: *41477 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://[::1]:8002/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [error] 53739#0: *41473 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://127.0.0.1:8002/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [error] 53681#0: *41478 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://127.0.0.1:8002/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [warn] 53739#0: *41473 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://127.0.0.1:8002/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:17:36 [warn] 53681#0: *41478 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://127.0.0.1:8002/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:22:45 [error] 53739#0: *45454 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-up HTTP/1.1", upstream: "http://[::1]:8000/auth/sign-up", host: "localhost:8081"
2024/11/15 11:22:45 [warn] 53739#0: *45454 upstream server temporarily disabled while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-up HTTP/1.1", upstream: "http://[::1]:8000/auth/sign-up", host: "localhost:8081"
2024/11/15 11:22:46 [error] 53739#0: *45454 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-up HTTP/1.1", upstream: "http://127.0.0.1:8002/auth/sign-up", host: "localhost:8081"
2024/11/15 11:22:46 [warn] 53739#0: *45454 upstream server temporarily disabled while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-up HTTP/1.1", upstream: "http://127.0.0.1:8002/auth/sign-up", host: "localhost:8081"
2024/11/15 11:22:47 [error] 53739#0: *45454 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-up HTTP/1.1", upstream: "http://[::1]:8002/auth/sign-up", host: "localhost:8081"
2024/11/15 11:22:47 [warn] 53739#0: *45454 upstream server temporarily disabled while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-up HTTP/1.1", upstream: "http://[::1]:8002/auth/sign-up", host: "localhost:8081"
2024/11/15 11:22:47 [error] 53739#0: *45454 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-up HTTP/1.1", upstream: "http://127.0.0.1:8001/auth/sign-up", host: "localhost:8081"
2024/11/15 11:22:47 [warn] 53739#0: *45454 upstream server temporarily disabled while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-up HTTP/1.1", upstream: "http://127.0.0.1:8001/auth/sign-up", host: "localhost:8081"
2024/11/15 11:22:47 [error] 53739#0: *45454 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-up HTTP/1.1", upstream: "http://[::1]:8001/auth/sign-up", host: "localhost:8081"
2024/11/15 11:22:47 [warn] 53739#0: *45454 upstream server temporarily disabled while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-up HTTP/1.1", upstream: "http://[::1]:8001/auth/sign-up", host: "localhost:8081"
2024/11/15 11:50:41 [error] 55777#0: *96754 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://[::1]:8001/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:50:41 [warn] 55777#0: *96754 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://[::1]:8001/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:50:41 [error] 55777#0: *96755 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://127.0.0.1:8001/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:50:41 [warn] 55777#0: *96755 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://127.0.0.1:8001/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:50:41 [error] 55777#0: *96756 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://[::1]:8002/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:50:41 [warn] 55777#0: *96756 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://[::1]:8002/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:50:41 [error] 55777#0: *96757 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://127.0.0.1:8002/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:50:41 [warn] 55777#0: *96757 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://127.0.0.1:8002/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:50:41 [error] 55777#0: *96768 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://[::1]:8001/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:50:41 [warn] 55777#0: *96768 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://[::1]:8001/auth/sign-in", host: "127.0.0.1:8081"
2024/11/15 11:50:41 [error] 55777#0: *96770 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/v1/auth/sign-in HTTP/1.0", upstream: "http://127.0.0.1:8001/auth/sign-in", host: "127.0.0.1:8081"
